//  	      ___			  ____________		 ___       ___           ___
//		     /   \			 |            |		|	|	  |	  \         /   |
//	        /     \			 |    ________|		|	|	  |	   \       /	|
//	       /	   \		 |   |				|	|	  |     \     /		|
//	      /	  / \   \		 |   |				|	|	  |  |\  \___/	/|	|
//	     /   /___\   \		 |   |				|	|	  |	 | \	   / |	|
//      /   _______   \	   	 |   |				|	|	  |	 |  \_____/	 |	|
//     /   /       \   \     |   |_________		|	|	  |	 |			 |	|
//    /   /         \   \	 |             |	|	|	  |	 |			 |	|
//   /___/           \___\	 |_____________|	|___|	  |__|			 |__|
//   by: Chief Wiggum
// 	 www.awc-gaming.de

//	file: stringtable.csv
//  Description:	English -> German translation.




LANGUAGE,								English,										German

//MAIN DIALOG HEADER
STR_CW_ACIM_HEADER_SEARCH,				SEARCH,											DURCHSUCHEN
STR_CW_ACIM_HEADER_SHOUT,				SHOUT,											RUFEN
STR_CW_ACIM_HEADER_INFO,				INFORMATIONS,									INFORMATIONEN
STR_CW_ACIM_HEADER_CUSTODY,				CUSTODY,										GEWAHRSAM
STR_CW_ACIM_HEADER_ADMIN,				ADMIN LOGIN,									ADMIN LOGIN
STR_CW_ACIM_HEADER_BACK,				<- BACK,										<- ZURÜCK
STR_CW_ACIM_HEADER_INVENTORY,			INVENTORY,										INVENTAR





//MAIN DIALOG 2nd HEADER
STR_CW_ACIM_STOP,						STOP!,											STOP!
STR_CW_ACIM_GO,							GO!,											GEH WEITER!
STR_CW_ACIM_GETDOWN,					GET DOWN!,										HINLEGEN!
STR_CW_ACIM_GETUP,						GET UP!, 										AUFSTEHEN!
STR_CW_ACIM_HANDCUFF, 					HANDCUFFS,										HANDSCHELLEN
STR_CW_ACIM_ESCORT,						ESCORT,											ABFÜHREN
STR_CW_ACIM_INVEHICLE,					PUT IN VEHICLE,									IN FAHRZEUG
STR_CW_ACIM_CLOSE,						CLOSE,											SCHLIEßEN
STR_CW_ACIM_CHECKSHIRT,					SEARCH SHIRT,									SHIRT KONTROL.
STR_CW_ACIM_CHECKPANTS,					SEARCH PANTS,									HOSE KONTROL.
STR_CW_ACIM_CHECKSHOES,					SEARCH SHOES,									SCHUHE KONTROL.
